Date,Open Price (USD),High Price (USD),Low Price (USD),Close Price (USD),Volume
2024-09-10,2359.08,2398.0,2321.78,2387.78,6679.17892847
2024-09-11,2387.78,2389.3,2278.81,2339.99,9148.13407412
2024-09-12,2340.0,2390.0,2315.98,2361.34,6591.83086741
2024-09-13,2361.34,2465.0,2338.17,2440.89,8555.96802353
2024-09-14,2441.43,2442.15,2381.0,2416.99,10018.42273076
2024-09-15,2417.0,2429.52,2286.06,2316.87,3905.95695876
2024-09-16,2316.26,2333.53,2253.06,2295.03,8896.80118591
2024-09-17,2295.03,2392.12,2262.99,2341.69,8919.5689853
2024-09-18,2341.69,2374.85,2277.26,2374.75,10610.49035551
2024-09-19,2374.47,2493.44,2374.09,2464.52,17506.74997719
2024-09-20,2464.52,2570.3,2437.9,2561.44,18766.28708682
2024-09-21,2561.6,2623.53,2530.01,2615.0,22753.50648389
2024-09-22,2615.01,2633.03,2528.08,2581.99,25518.64134239
2024-09-23,2582.0,2701.15,2541.35,2646.91,35172.38885486
2024-09-24,2647.16,2669.98,2592.47,2653.13,12109.0493082
2024-09-25,2653.14,2672.53,2554.51,2580.05,8222.41470536
2024-09-26,2579.15,2664.49,2559.6,2632.14,9422.33447424
2024-09-27,2632.14,2728.44,2617.2,2695.01,10495.39831393
2024-09-28,2695.01,2702.63,2650.66,2678.61,5321.16863577
2024-09-29,2675.74,2683.66,2635.5,2657.89,5689.95466805
2024-09-30,2658.03,2662.14,2575.4,2602.97,8302.72305578
2024-10-01,2602.42,2656.03,2413.97,2448.27,20433.23534175
2024-10-02,2447.38,2498.17,2352.33,2363.93,12628.53229529
2024-10-03,2363.92,2402.24,2321.01,2343.0,3198.6453959
